race_id,car_no,raw_finish_position,finish_status_detail,exception_name_from_html,exception_margin,exception_agari,exception_decision,exception_sb,exception_comment
1220231028020004,6,欠,absent,日吉克実,,,,,
1220231028020004,1,落,crash,藤田晃英,,,,,
1220231028020004,3,落,crash,武藤貴志,,,,S,
1220231103010002,3,落,crash,瀬口匠,,,,,接触し落車
1220231103010003,5,失,disqualified,木村元信,,,,,４角内下り
1220240511010005,5,欠,absent,真崎章徳,,,,,
1220240610010002,5,失,disqualified,舟元権造,,,,,
1220240619010005,4,失,disqualified,菅谷隆司,,,,,内抜き失格
1220240619010009,7,失,disqualified,田口勇介,,,,,被り内抜失
1220240626010002,7,欠,absent,村上順規,,,,,
1220240626010002,6,失,disqualified,清水正人,,,,,
1220240626010003,3,欠,absent,木幡幸仁,,,,,
1220240704020010,3,落,crash,近藤保,,,,,４角絡まれ
1220240710020002,7,欠,absent,白木正彦,,,,,
1220240710030009,5,失,disqualified,西村行貴,,,,,
1220240716010012,4,落,crash,佐々木雄一,,,,,混戦で落車
1220240716010012,3,失,disqualified,内藤秀久,,,,,併走で落車
1220240716020005,5,落,crash,日当泰之,,,,,３半で落車
1220240726020001,4,失,disqualified,片山大輔,,,,,角口聖不発
1220240726020009,4,落,crash,内村泰三,,,,,直線で落車
1220240726020009,6,落,crash,船倉卓郎,,,,,直線で落車
1220240726020009,2,失,disqualified,船瀬惇平,,,,,逃走も失格
1220240726020010,1,欠,absent,加藤圭一,,,,,当日欠場
1220240726030005,5,失,disqualified,高橋朋恵,,,,,
1220240726030012,4,落,crash,今井聡,,,,,
1220240726030012,3,失,disqualified,小川将二郎,,,,,
1220240731020005,1,失,disqualified,岡田亮太,,,,,
1220240813010008,2,落,crash,小野大介,,,,,離れ落車し
1220240813010011,4,落,crash,坂本紘規,,,,,捲り合され
1220240819030006,1,落,crash,高本和也,,,,,
1220240819030006,2,落,crash,山口貴弘,,,,,
1220240819030006,5,落,crash,三澤康人,,,,,
1220240819030006,3,失,disqualified,會澤龍,,,,S,
1220240824010002,7,欠,absent,邊見祐太,,,,,
1220240824020007,2,落,crash,小堀敢太,,,,,
1220240824030003,3,欠,absent,北沢勝弘,,,,,
1220240824030003,1,失,disqualified,三澤勝成,,,,,
1220240830010005,4,欠,absent,大澤雄大,,,,,当日欠場
1220240904010007,2,落,crash,橋本智昭,,,,SB,
1220240904030002,1,落,crash,飯田威文,,,,S,
1220240904030002,4,落,crash,阿部英光,,,,,
1220240904030002,5,落,crash,藤野一良,,,,,
1220240926020002,4,落,crash,山根慶太,,,,,捲り合され
1220240926020002,9,落,crash,田中誠,,,,,４角接触し
1220240926020004,7,失,disqualified,渡辺十夢,,,,,仕事掬われ
1220240926020010,3,失,disqualified,和田健太郎,,,,,内突き失格
1220240926030006,2,落,crash,五十嵐綾,,,,S,併走落車し
1220240926030007,1,落,crash,東口善朋,,,,S,目標と後方
1220240926030007,5,落,crash,椎木尾拓哉,,,,,鐘３角落車
1220240926030007,9,落,crash,上杉嘉槻,,,,,後方捲れず
1220240926030008,1,落,crash,嵯峨昇喜郎,,,,S,７番手不発
1220240926030008,5,落,crash,坂本貴史,,,,,目標共倒れ
1220240926030008,8,失,disqualified,柴田洋輔,,,,,ライン共倒
1220240926040008,3,落,crash,近藤俊明,,,,,
1220240926040008,6,落,crash,矢口大樹,,,,,
1220241015010012,3,落,crash,久米良,,,,,接触し落車
1220241015010012,7,落,crash,瓜生崇智,,,,,接触し落車
1220241015020006,5,失,disqualified,稲村好将,,,,,内外線内抜
1220241023010010,4,落,crash,石川雅望,,,,,鐘前接触落
1220241023020001,3,落,crash,峰重祐之介,,,,S,外振り接触
1220241023020001,7,落,crash,黒田大介,,,,,内外絡まれ
1220241023020002,3,失,disqualified,根本雄紀,,,,,過失走行で
1220241023020011,5,落,crash,山根将太,,,,,打鐘前落車
1220241023020011,3,失,disqualified,鈴木玄人,,,,B,斜行し１失
1220241023030005,2,欠,absent,猪頭香緒里,,,,,
1220241028020005,3,落,crash,高間悠平,,,,S,
1220241104020001,7,落,crash,金辺雄介,,,,,
1220250412010006,3,落,crash,松本秀之介,,,,,直線で不利
1220250412010006,7,落,crash,菅原晃,,,,,直線で追突
1220250412010006,2,失,disqualified,大崎飛雄馬,,,,,直線で斜行
1220250412020005,1,落,crash,上遠野拓馬,,,,S,叩けず浮き
1220250412020008,4,落,crash,高原仁志,,,,,牽制絡んで
1220250412020008,6,落,crash,丸山貴秀,,,,S,牽制されて
1220250507030008,6,落,crash,吉田勇人,,,,,
1220250524020007,9,落,crash,和田圭,,,,,
1220250524020007,7,失,disqualified,小倉竜二,,,,,
1220250524020008,6,落,crash,東口善朋,,,,,
1220250605020003,5,欠,absent,木幡幸仁,,,,,
1220250613010003,1,落,crash,油谷蒼,,,,,
1220250613010003,2,落,crash,前田拓也,,,,,
1220250613010003,5,失,disqualified,駒井大輔,,,,S,
1220250613020004,3,落,crash,村上貴彦,,,,,
1220250613020004,6,失,disqualified,玉木英典,,,,,
1220250613020009,1,落,crash,南部翔大,,,,S,
1220250613020009,6,失,disqualified,宮倉勇,,,,,
1220250623030003,7,落,crash,山崎航,,,,,
1220250623030007,1,落,crash,加藤将武,,,,S,
1220250623030009,1,落,crash,坂本修一,,,,S,
1220250623030009,7,落,crash,真崎新太郎,,,,,
1220250623030009,5,失,disqualified,上野雅彦,,,,,
1220250710010002,4,失,disqualified,龍門慎太郎,,,,,
1220250710010007,3,欠,absent,赤星俊光,,,,,
1220250710020002,5,欠,absent,三登誉哲,,,,,
1220250717010001,3,失,disqualified,牛田樹希斗,,,,,叩けず絡む
1220250717020012,5,失,disqualified,湊聖二,,,,,押上げ失格
1220250723010003,5,失,disqualified,倉松涼,,,,,
1220250723010003,7,失,disqualified,吉田彰久,,,,,
1220250723030001,2,失,disqualified,廣川貞治,,,,,
1220250809010003,2,落,crash,佐野多喜男,,,,,
1220250809010003,7,落,crash,菊池崇訓,,,,,
1220250809020002,6,欠,absent,沼川夢久,,,,,
1220250901010010,1,落,crash,菅野航基,,,,SB,すぐ叩返す
1220250901020006,5,欠,absent,武藤篤弘,,,,,当日欠場
1220250911010004,7,欠,absent,井上嵩,,,,,
1220250911030002,1,失,disqualified,肥後尚己,,,,S,
1220250920020002,7,失,disqualified,竹内翼,,,,,ＹＬ踏切り
1220250920030012,8,落,crash,久木原洋,,,,,接触し落車
1220250920040008,9,失,disqualified,山崎歩夢,,,,,
1220250926010001,2,落,crash,外崎一成,,,,,
1220250926010001,4,落,crash,岩本純,,,,,
1220250926030007,5,落,crash,島村匠,,,,,
1220250926030007,1,失,disqualified,丸山貴秀,,,,S,
1220251003010004,1,落,crash,山本和瑳,,,,S,
1220251003010004,5,落,crash,鈴木雄一朗,,,,,
1220251003030002,4,落,crash,野崎修一,,,,,
1220251003030002,6,失,disqualified,富澤洋祐,,,,,
1220251008010011,1,落,crash,横山尚則,,,,S,３半で接触
1220251008030011,1,落,crash,福田健太,,,,,
1220251027020011,2,落,crash,坂本貴史,,,,,接触し落車
1220251027020011,5,落,crash,紺野哲也,,,,,追突し落車
1220251027020011,3,失,disqualified,桑名僚也,,,,,内差接触落
1220260412020004,7,落,crash,長松空吾,,,,,
1220260412020004,5,失,disqualified,渡邊健,,,,,
1220260504010005,3,失,disqualified,寺沼伊織,,,,,
1220260504010007,2,落,crash,三谷政史,,,,,
1220260504020006,5,落,crash,中島淳,,,,,
1220260504020006,1,失,disqualified,塩崎隼秀,,,,,
1220260519020005,4,失,disqualified,佐々木堅次,,,,,
1220260519030005,4,落,crash,田中誠,,,,,
1220260519030005,5,落,crash,岡田征陽,,,,,
1220260519030005,1,失,disqualified,塚本大樹,,,,S,
1220260528010009,5,落,crash,前川大輔,,,,,
1220260528010009,2,失,disqualified,馬場和広,,,,S,
1220260617010003,6,失,disqualified,山城光央,,,,,
1220260625020005,4,失,disqualified,渡辺馨,,,,,
1220260625030005,7,落,crash,宮原貴之,,,,,
1220260625030005,2,失,disqualified,中村淳,,,,,
8620221231010011,1,失,disqualified,菅田和宏,,,,S,
8620221231020001,2,欠,absent,沖本尚織,,,,,
8620230106010001,5,落,crash,高嶋一朗,,,,,Ｈ過ぎ落車
8620230106020010,1,落,crash,大坪功一,,,,,前団Ｇ前落
8620230117010007,3,落,crash,瀧野勝太,,,,,
8620230117010007,4,落,crash,松本充生,,,,,
8620230117010007,6,落,crash,吉田彰久,,,,S,
8620230117010008,1,失,disqualified,川島勝,,,,,
8620230117020002,7,失,disqualified,村松俊弥,,,,,
8620230117030002,1,欠,absent,太田良政,,,,,
8620230117030006,2,失,disqualified,山崎泰己,,,,,
8620230123010009,6,欠,absent,佐藤清之,,,,,当日欠場
8620230123030109,5,失,disqualified,天田裕輝,,,,,
8620230123030109,4,故,accident_finish,市橋司優人,,,,,
8620230131010003,1,失,disqualified,阿部亮治,,,,,
8620230224010005,5,失,disqualified,上吹越俊一,,,,B,外振り斜行
8620230224010009,3,落,crash,山内卓也,,,,,追上げ競負
8620230224010009,4,落,crash,藤田昌宏,,,,,逃がされて
8620230224010009,5,落,crash,内山貴裕,,,,,３半で接触
8620230318010011,4,欠,absent,松本貴治,,,,,当日欠場
8620230318030002,5,欠,absent,久木原洋,,,,,当日欠場
8620230318030012,2,落,crash,荒井崇博,,,,,接触し落車
8620230318030012,6,落,crash,小松崎大地,,,,,３角で落車
8620230318040010,7,失,disqualified,浅井康太,,,,,
8620230318040012,5,失,disqualified,古性優作,,,,,
8620230327010005,2,落,crash,三澤康人,,,,,
8620230327010005,7,落,crash,坂本拓也,,,,,
8620230327020007,3,欠,absent,一丸尚伍,,,,,
8620230327030007,1,落,crash,立部楓真,,,,,
8620230327030007,2,落,crash,今野大輔,,,,S,
8620230327030007,3,落,crash,上野優太,,,,,
8620230327030007,4,失,disqualified,小玉勇一,,,,,
8620230407030010,1,落,crash,野口諭実可,,,,,
8620230407030010,5,失,disqualified,篠崎新純,,,,,
8620230416010003,6,落,crash,松尾正人,,,,,
8620230428010003,1,落,crash,宮内善光,,,,S,
8620230428010003,3,落,crash,作田悦章,,,,,
8620230428010003,5,落,crash,大竹慎吾,,,,,
8620230428030009,3,落,crash,渡邉豪大,,,,S,
8620230511020006,3,失,disqualified,小林則之,,,,B,
8620230511030001,4,失,disqualified,松木竜也,,,,,
8620230511030005,4,落,crash,土井勲,,,,,
8620230518010002,4,失,disqualified,渋川聡士,,,,,
8620230523010003,6,失,disqualified,谷尾佳昭,,,,,
8620230523020003,6,失,disqualified,阿部亮治,,,,,
8620230601030010,2,欠,absent,鈴木彩夏,,,,,
8620230610030001,3,落,crash,服部竜二,,,,,
8620230620010001,3,落,crash,小佐野文秀,,,,,
8620230620010001,5,失,disqualified,小玉勇一,,,,B,
8620230630010003,2,故,accident_finish,高尾剛文,,,,,早々事故棄
8620230630020005,2,落,crash,沼川夢久,,,,,接触し落車
8620230630020005,5,落,crash,宮道良輔,,,,,接触し落車
8620230630020008,1,落,crash,浅沼聖士,,,,S,乗上げ落車
8620230630020008,4,落,crash,飯島淳,,,,,打鐘後落車
8620230630020008,5,落,crash,上野真吾,,,,,乗上げ落車
8620230630020011,4,落,crash,長井優斗,,,,,接触し落車
8620230630030005,7,欠,absent,浜地晴帆,,,,,
8620230707020003,3,失,disqualified,宮倉勇,,,,,
8620230713010006,5,落,crash,宮本龍一,,,,S,
8620230713020006,4,落,crash,井寺亮太,,,,,
8620230713020006,1,失,disqualified,中野智公,,,,,
8620230713030004,5,失,disqualified,塚本貴雄,,,,,
8620230815010011,2,失,disqualified,萩原孝之,,,,,踏出し離れ
8620230815020003,5,落,crash,野中祐志,,,,,飛び付かれ
8620230815020003,4,失,disqualified,中村翔平,,,,,番手飛付き
8620230829010006,1,落,crash,川本隆史,,,,S,
8620230829010006,4,落,crash,板羽俊一,,,,,
8620230829010006,5,失,disqualified,松尾大樹,,,,,
8620230829020006,4,落,crash,伊藤司,,,,,
8620230829020006,6,落,crash,山崎功也,,,,,
8620230903010002,5,失,disqualified,中山敬太郎,,,,,
8620230913010006,2,失,disqualified,照屋将貴,,,,S,
8620230913010006,3,失,disqualified,宮司周郎,,,,,
8620230913020004,3,落,crash,屋宜浩二,,,,,
8620230919020001,5,失,disqualified,隅貴史,,,,,内抜き失格
8620231002010002,4,失,disqualified,大山泰伸,,,,,
8620231002020001,4,欠,absent,前島恭平,,,,,
8620231106010010,2,落,crash,吉田智哉,,,,,接触し落車
8620231106010010,6,落,crash,和田誠寿,,,,,乗上げ落車
8620231106020009,3,落,crash,中田雄喜,,,,,乗上げ落車
8620231106020009,2,失,disqualified,佐藤真一,,,,,外入し落失
8620231119010005,6,失,disqualified,阿部龍也,,,,,
8620231127010001,3,落,crash,森川剛,,,,,
8620231127010004,7,欠,absent,竹元健竜,,,,,
8620231207010007,8,欠,absent,佐藤朋也,,,,,当日欠場
8620231207010010,8,落,crash,魚屋周成,,,,S,切替え落車
8620231207020008,4,落,crash,阿部拓真,,,,,絡まれ落車
8620231207020008,6,失,disqualified,安東宏高,,,,,④を押上げ
8620231207040012,1,落,crash,松浦悠士,,,,,
8620231207040012,8,失,disqualified,大塚健一郎,,,,,
8620231214010009,3,落,crash,小川勇介,,,,,
8620231214010009,7,落,crash,片岡迪之,,,,,
8620231219010002,1,欠,absent,山崎功也,,,,,
8620231219020002,4,失,disqualified,宮澤晃,,,,,
8620231228010004,4,落,crash,藤原浩,,,,,
8620231228010004,7,落,crash,三木健治,,,,S,
8620231228030004,6,欠,absent,緒方慎太朗,,,,,
8620240103010008,1,欠,absent,吉永好宏,,,,,当日欠場し
8620240103010012,6,落,crash,岡本総,,,,,接触し落車
8620240103010012,4,失,disqualified,小岩大介,,,,,押込み３失
8620240109020002,1,欠,absent,阿部利光,,,,,
8620240207030006,3,落,crash,真田晃,,,,,
8620240212010004,2,落,crash,土井勲,,,,,
8620240212010004,7,落,crash,小西芳樹,,,,,
8620240212010004,5,失,disqualified,吉川裕二,,,,,
8620240301010002,5,失,disqualified,馬場和広,,,,B,
8620240301020004,5,落,crash,宮内善光,,,,,
8620240311010001,1,落,crash,吉良勝信,,,,S,絡まれ落車
8620240311010001,3,落,crash,古城英之,,,,,乗上げ落車
8620240311010001,4,落,crash,佐藤有輝,,,,,接触し落車
8620240311010009,2,落,crash,菅原晃,,,,,乗上げ落車
8620240311010009,3,落,crash,福島武士,,,,,不利受落車
8620240311010009,6,失,disqualified,関根健太郎,,,,,押上げ失格
8620240311010011,5,落,crash,大坪功一,,,,,接触し落車
8620240311030002,1,失,disqualified,原司,,,,S,
8620240317010004,3,落,crash,田中弘章,,,,,
8620240317010004,6,落,crash,足達重満,,,,,
8620240415020002,3,失,disqualified,小野祐作,,,,,
8620240504010002,2,失,disqualified,石田宏樹,,,,,
8620240504010003,2,欠,absent,鈴木康平,,,,,
8620240504020003,5,失,disqualified,長田彰人,,,,,
8620240504020004,4,失,disqualified,中山善仁,,,,,
8620240504030007,5,落,crash,渡邊一洋,,,,,
8620240523020009,1,故,accident_finish,峰重祐之介,,,,S,接触し後退
8620240523030006,4,失,disqualified,矢島一弥,,,,,
8620240601010005,5,落,crash,菅藤智,,,,,押上げられ
8620240601010005,4,失,disqualified,櫻木雄太,,,,,押上げ失格
8620240618020001,5,失,disqualified,原清孝,,,,B,
8620240618020006,2,落,crash,船倉卓郎,,,,,
8620240618020006,5,落,crash,千澤大輔,,,,,
8620240618020006,7,失,disqualified,嶋貫高大,,,,,
8620240618030002,5,失,disqualified,森山昌昭,,,,,
8620240625010005,3,失,disqualified,伊藤太一,,,,,
8620240625010005,4,故,accident_finish,藤井將,,,,,
8620240625020007,4,落,crash,小原亮哉,,,,,
8620240708010004,1,失,disqualified,安部龍文,,,,,
8620240708020001,5,欠,absent,高橋幸司,,,,,
8620240708030005,1,落,crash,櫻井太士,,,,,
8620240725030006,4,落,crash,松坂英司,,,,,乗り上げて
8620240725030006,5,落,crash,松永将,,,,,乗り上げて
8620240725030006,8,落,crash,佐藤成人,,,,,絡んで落車
8620240725030007,1,失,disqualified,伊藤旭,,,,,Ｈ前捨られ
8620240725030008,1,,unknown_exception,磯田旭,,,,,未実施抽選
8620240725030008,2,,unknown_exception,阿部拓真,,,,,未実施抽選
8620240725030008,3,,unknown_exception,南潤,,,,,未実施抽選
8620240725030008,4,,unknown_exception,竹内翼,,,,,未実施抽選
8620240725030008,5,,unknown_exception,佐々木悠葵,,,,,未実施抽選
8620240725030008,6,,unknown_exception,丸山直樹,,,,,未実施抽選
8620240725030008,7,,unknown_exception,原田研太朗,,,,,未実施抽選
8620240725030008,8,,unknown_exception,板垣昴,,,,,未実施抽選
8620240725030008,9,,unknown_exception,清水一幸,,,,,未実施抽選
8620240725040006,2,落,crash,池田勇人,,,,,
8620240725040006,8,失,disqualified,児玉慎一郎,,,,,
8620240804010002,1,落,crash,小岩哲也,,,,,
8620240804010007,1,失,disqualified,豊岡英子,,,,,
8620240804030003,3,落,crash,谷田泰平,,,,,
8620240804030003,4,落,crash,戸伏康夫,,,,,
8620240819020004,4,落,crash,園田鉄兵,,,,,
8620240831030003,4,失,disqualified,尾崎勝弘,,,,,
8620240906020011,4,失,disqualified,東口善朋,,,,,藤井に離れ
8620240906030001,3,落,crash,山本貴章,,,,,
8620240921030002,7,欠,absent,青木亮太,,,,,
8620240926030005,6,落,crash,水本博行,,,,,
8620240926030005,3,失,disqualified,田村真広,,,,,
8620241011020003,6,失,disqualified,西島叶子,,,,,後方外併走
8620241011020009,1,落,crash,上田国広,,,,S,内降り落車
8620241011030007,1,落,crash,林大悟,,,,,ホーム落車
8620241011030007,8,失,disqualified,山田義彦,,,,,内締め失格
8620241011030010,3,失,disqualified,星野洋輝,,,,S,外阻み踏む
8620241106010005,7,失,disqualified,長谷隆志,,,,,
8620241201010008,4,欠,absent,一丸尚伍,,,,,当日欠場
8620241201010009,3,欠,absent,竹山陵太,,,,,当日欠場
8620241215020003,1,落,crash,大西健士,,,,,
8620241215020003,5,落,crash,高橋大輝,,,,,
8620241225020005,2,失,disqualified,楠本政明,,,,,
8620241225020007,5,欠,absent,小野俊之,,,,,
8620241225030006,7,失,disqualified,村本慎吾,,,,,
8620250107020009,2,欠,absent,吉田敏洋,,,,,当日欠場で
8620250126010002,7,落,crash,秋永共之,,,,,
8620250126020008,1,失,disqualified,白戸淳太郎,,,,,
8620250208010005,7,落,crash,吉成晃一,,,,,
8620250215020007,7,失,disqualified,加藤昌平,,,,,
8620250215020007,4,故,accident_finish,福森慎太郎,,,,,
8620250307010006,4,欠,absent,松本大地,,,,,
8620250307020005,3,故,accident_finish,田中秀治,,,,,
8620250307020005,7,故,accident_finish,佐伯辰哉,,,,S,
8620250314020005,6,落,crash,高木修二,,,,,
8620250314020005,2,失,disqualified,藤井將,,,,,
8620250324020009,1,失,disqualified,山本拳也,,,,,
8620250324030005,6,欠,absent,佐藤乃愛,,,,,
8620250402010002,6,落,crash,山田慎一郎,,,,,
8620250402010002,7,落,crash,小林高志,,,,,
8620250415020011,4,落,crash,池田良,,,,,本線も落車
8620250415030010,5,落,crash,成松春樹,,,,,
8620250415030010,3,失,disqualified,三ツ石康洋,,,,,
8620250425020003,1,失,disqualified,小峰烈,,,,,
8620250425020004,5,失,disqualified,安谷屋将志,,,,,
8620250509010001,6,落,crash,鈴木豪,,,,,押圧されて
8620250509010001,5,失,disqualified,鳥生知八,,,,,押圧し４失
8620250509020005,5,落,crash,北津留千羽,,,,,接触し落車
8620250509020005,6,失,disqualified,高崎千賀,,,,,接触し落失
8620250509020010,5,欠,absent,林佳宗依,,,,,当日欠場
8620250509030002,5,欠,absent,平川雅晃,,,,,
8620250509030011,2,落,crash,秋山太洋,,,,,
8620250518010003,3,落,crash,宮司周郎,,,,,
8620250518010003,7,落,crash,桜井雄太,,,,,
8620250518020006,4,落,crash,佐藤壮志,,,,,
8620250518020006,5,落,crash,伊藤温希,,,,,
8620250605010003,3,落,crash,原誠宏,,,,,捲乗内潜り
8620250605010003,8,落,crash,平原啓多,,,,,不発ライン
8620250605010005,7,失,disqualified,木暮安由,,,,,内抜き失格
8620250605030001,5,落,crash,青井賢治,,,,,挟まれ落車
8620250704030004,2,落,crash,栗田貴徳,,,,,
8620250704030004,4,落,crash,太田黒大心,,,,,
8620250704030005,3,失,disqualified,塩田日海,,,,,
8620250704030005,6,失,disqualified,蛯原杏奈,,,,S,
8620250704030005,5,故,accident_finish,橋本佳耶,,,,,
8620250719030004,2,落,crash,安谷屋将志,,,,,
8620250719030004,4,落,crash,山本貴章,,,,,
8620250719030007,1,失,disqualified,筒井裕哉,,,,S,
8620250728010006,2,落,crash,濱田芽生,,,,,流れ乗れず
8620250728010006,6,失,disqualified,東美月,,,,,中団取るも
8620250728010008,3,落,crash,佐藤成人,,,,,棚瀬義離れ
8620250728010008,4,失,disqualified,荒木貴大,,,,,中団揉まれ
8620250728010012,7,落,crash,坂本健太郎,,,,,終審で落車
8620250728010012,2,失,disqualified,松岡辰泰,,,,,先行捲られ
8620250728020005,4,落,crash,谷口幸司,,,,,終審で落車
8620250728020005,6,落,crash,小磯知也,,,,,終審で落車
8620250728020005,7,落,crash,古屋琢晶,,,,S,終審で落車
8620250728020005,5,失,disqualified,藤井準也,,,,,終審で落車
8620250728030012,2,失,disqualified,石塚輪太郎,,,,,
8620250806010009,4,落,crash,今井聡,,,,,
8620250806010009,5,落,crash,近藤誠二,,,,,
8620250828010003,3,落,crash,鳥丸晃順,,,,,
8620250828020001,1,欠,absent,米丸俊成,,,,,
8620250828030003,3,落,crash,檀雄二,,,,,
8620250828030003,5,落,crash,屋宜浩二,,,,,
8620250909020004,5,落,crash,塚本貴雄,,,,,
8620250921010009,2,故,accident_finish,笹倉慎也,,,,,
8620250921020005,5,失,disqualified,中井大介,,,,,
8620250930010005,5,失,disqualified,赤星俊光,,,,,
8620251016010008,2,落,crash,元砂勇雪,,,,,Ｂ接触故障
8620251016010008,3,故,accident_finish,芦澤大輔,,,,,Ｂ接触故障
8620251016010010,1,落,crash,今藤康裕,,,,,接触し落車
8620251016010010,4,落,crash,岸澤賢太,,,,,接触し落車
8620251016010010,8,落,crash,小沼良,,,,,絡んで落車
8620251016010010,2,失,disqualified,阪本和也,,,,,押上げ３失
8620251016030011,6,失,disqualified,大塚健一郎,,,,,斜行し８失
8620251016030011,8,故,accident_finish,照井拓成,,,,,車体故障で
8620251102010005,1,落,crash,山本康旗,,,,,
8620251102010005,2,失,disqualified,小野俊之,,,,,
8620251102010005,6,失,disqualified,長岡豪,,,,,
8620251102030002,6,欠,absent,保科圭太,,,,,
8620251102030007,1,落,crash,水澤秀哉,,,,SB,
8620251102030007,2,落,crash,中田拓也,,,,,
8620251107010008,6,落,crash,瓦田勝也,,,,,前だけ届く
8620251107020008,4,失,disqualified,松永真太,,,,,内抜き３失
8620251107030003,7,落,crash,川添輝彦,,,,,
8620251107030004,5,欠,absent,大浦彩瑛,,,,,
8620251215010007,5,落,crash,西田雅志,,,,,内掬い落車
8620251215020001,2,落,crash,宮司周郎,,,,,接触落車
8620251215020001,6,落,crash,行成大祐,,,,,追突落車
8620251215020003,1,落,crash,中島将尊,,,,S,四番手競り
8620251215020003,4,落,crash,坪内恒,,,,,三番手競り
8620251215020003,2,失,disqualified,犬塚貴之,,,,,三番手競り
8620251215030003,7,落,crash,三好陽一,,,,,
8620251215030003,6,失,disqualified,廣川泰昭,,,,,
8620251215030005,5,欠,absent,柿本大貴,,,,,
8620251230010001,4,欠,absent,枠元一葵,,,,,
8620251230020005,1,落,crash,寺崎祐樹,,,,S,
8620251230020005,3,落,crash,阿部兼士,,,,,
8620251230020005,5,失,disqualified,近藤雄太,,,,,
8620260104020004,4,落,crash,郡英治,,,,,
8620260115020006,5,落,crash,大林亮介,,,,,
8620260115020006,4,失,disqualified,服部竜二,,,,,
8620260115020007,4,失,disqualified,篠田樹,,,,,
